Country,Indicator,Year,Value
ALGERIA,Number of rooms,1995,31805.0
ALGERIA,Number of bed-places,1995,63614.0
ALGERIA,Occupancy rate / bed-places,1995,33.34
ANGOLA,Number of rooms,1995,4943.0
ANGOLA,Number of bed-places,1995,6783.0
ANGOLA,Occupancy rate / bed-places,1995,33.0
ANGUILLA,Number of establishments,1995,59.0
ANGUILLA,Number of rooms,1995,951.0
ANTIGUA AND BARBUDA,Number of rooms,1995,3317.0
ARMENIA,Average length of stay,1995,6.0
ARUBA,Number of rooms,1995,6266.0
ARUBA,Number of bed-places,1995,12532.0
ARUBA,Occupancy rate / rooms,1995,72.2
AUSTRALIA,Number of rooms,1995,169630.0
AUSTRALIA,Number of bed-places,1995,488629.0
AUSTRALIA,Occupancy rate / rooms,1995,59.0
AUSTRALIA,Average length of stay,1995,10.4
AUSTRIA,Number of establishments,1995,18120.0
AUSTRIA,Number of rooms,1995,309742.0
AUSTRIA,Occupancy rate / bed-places,1995,33.3
AUSTRIA,Average length of stay,1995,4.21
AZERBAIJAN,Number of rooms,1995,2000.0
AZERBAIJAN,Number of bed-places,1995,4000.0
BAHAMAS,Number of rooms,1995,13421.0
BAHAMAS,Number of bed-places,1995,26842.0
BAHAMAS,Occupancy rate / rooms,1995,66.5
BAHAMAS,Average length of stay,1995,4.72
BAHRAIN,Number of establishments,1995,51.0
BAHRAIN,Number of rooms,1995,4710.0
BAHRAIN,Number of bed-places,1995,6194.0
BANGLADESH,Number of rooms,1995,4085.0
BANGLADESH,Number of bed-places,1995,8224.0
BANGLADESH,Occupancy rate / bed-places,1995,43.0
BARBADOS,Number of rooms,1995,5084.0
BARBADOS,Number of bed-places,1995,10229.0
BARBADOS,Occupancy rate / rooms,1995,57.9
BARBADOS,Average length of stay,1995,6.9
BELGIUM,Number of establishments,1995,2022.0
BELGIUM,Number of rooms,1995,59719.0
BELGIUM,Number of bed-places,1995,154709.0
BELIZE,Number of establishments,1995,362.0
BELIZE,Number of rooms,1995,3708.0
BELIZE,Number of bed-places,1995,6137.0
BELIZE,Occupancy rate / rooms,1995,29.5
BELIZE,Average length of stay,1995,5.0
BENIN,Occupancy rate / bed-places,1995,32.42
BERMUDA,Number of rooms,1995,4141.0
BERMUDA,Occupancy rate / rooms,1995,58.3
"BOLIVIA, PLURINATIONAL STATE OF",Number of establishments,1995,554.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of rooms,1995,13744.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of bed-places,1995,23809.0
"BOLIVIA, PLURINATIONAL STATE OF",Occupancy rate / bed-places,1995,28.4
"BOLIVIA, PLURINATIONAL STATE OF",Average length of stay,1995,2.8
BONAIRE,Number of rooms,1995,1052.0
BONAIRE,Number of bed-places,1995,3188.0
BONAIRE,Occupancy rate / bed-places,1995,41.0
BONAIRE,Average length of stay,1995,7.3
BOSNIA AND HERZEGOVINA,Number of rooms,1995,1086.0
BOSNIA AND HERZEGOVINA,Number of bed-places,1995,1910.0
BOTSWANA,Number of rooms,1995,1746.0
BOTSWANA,Number of bed-places,1995,3226.0
BOTSWANA,Occupancy rate / rooms,1995,50.6
BRAZIL,Number of rooms,1995,139550.0
BRAZIL,Number of bed-places,1995,279100.0
BRITISH VIRGIN ISLANDS,Number of rooms,1995,1452.0
BRITISH VIRGIN ISLANDS,Occupancy rate / rooms,1995,56.4
BRITISH VIRGIN ISLANDS,Average length of stay,1995,8.9
BRUNEI DARUSSALAM,Number of rooms,1995,1184.0
BRUNEI DARUSSALAM,Occupancy rate / bed-places,1995,71.02
BRUNEI DARUSSALAM,Average length of stay,1995,3.0
BULGARIA,Number of bed-places,1995,114164.0
BULGARIA,Occupancy rate / bed-places,1995,36.5
BULGARIA,Average length of stay,1995,3.4
BURKINA FASO,Occupancy rate / rooms,1995,48.85
BURUNDI,Occupancy rate / bed-places,1995,36.08
BURUNDI,Average length of stay,1995,1.52
CABO VERDE,Number of rooms,1995,1436.0
CABO VERDE,Number of bed-places,1995,2681.0
CABO VERDE,Occupancy rate / bed-places,1995,60.0
CAMBODIA,Number of establishments,1995,136.0
CAMBODIA,Number of rooms,1995,4508.0
CAMBODIA,Number of bed-places,1995,7994.0
CAMBODIA,Occupancy rate / bed-places,1995,37.0
CAMEROON,Number of rooms,1995,10070.0
CAMEROON,Number of bed-places,1995,12566.0
CAMEROON,Occupancy rate / bed-places,1995,16.67
CANADA,Number of rooms,1995,279636.0
CANADA,Occupancy rate / bed-places,1995,61.1
CANADA,Average length of stay,1995,5.43
CAYMAN ISLANDS,Number of rooms,1995,3579.0
CAYMAN ISLANDS,Number of bed-places,1995,10889.0
CAYMAN ISLANDS,Average length of stay,1995,4.7
CENTRAL AFRICAN REPUBLIC,Number of rooms,1995,227.0
CENTRAL AFRICAN REPUBLIC,Number of bed-places,1995,370.0
CENTRAL AFRICAN REPUBLIC,Occupancy rate / rooms,1995,43.0
CHAD,Number of rooms,1995,374.0
CHAD,Number of bed-places,1995,688.0
CHAD,Occupancy rate / bed-places,1995,19.5
CHAD,Average length of stay,1995,2.0
CHILE,Number of rooms,1995,38740.0
CHILE,Number of bed-places,1995,88705.0
CHILE,Occupancy rate / bed-places,1995,34.9
CHILE,Average length of stay,1995,2.2
CHINA,Number of establishments,1995,3720.0
CHINA,Number of rooms,1995,426114.0
CHINA,Number of bed-places,1995,987275.0
CHINA,Occupancy rate / rooms,1995,58.12
CHINA,Average length of stay,1995,2.48
COLOMBIA,Number of rooms,1995,49107.0
COLOMBIA,Number of bed-places,1995,93303.0
COLOMBIA,Occupancy rate / rooms,1995,53.41
COLOMBIA,Average length of stay,1995,2.65
COMOROS,Number of rooms,1995,392.0
COMOROS,Number of bed-places,1995,784.0
COMOROS,Average length of stay,1995,7.0
